,,,Seasonal Content,,Non-Seasonal ,,,,,,,,,,,,,
,,,,,PVP:,PVE:,Forgotten Lands,,,,Celestial Trials,,,,,,,
,Avatar,Name,PVP:            WA + Foggy,Rift Odyssey,Arena + Ygg,Missions + POP + LC,Wailing Mines,Corrupt Spring,Crystal Woods,Crimson Town,"Dungeon
Maniac","Graveyard
Witch","Bloodhell
Queen","Northern
Duke","Woodland
Sage","Sacred
Guardian",Overall Rating,Additional Notes:
,,Lucifer,SS,SS,SS,SS,SS,SS,SS,A,SS,SS,SS,SS,SS,SS,10.93,OP
,,Hela,SS,S+,S+,SS,S+,S+,S+,A,S+,S+,S+,S+,S+,S+,10.26,"At 7* she becomes useful in RO, Tombs, PR (Needs 8 though)
At 8* + Runes she becomes on par with Victoria, although a different kind of buffer, sometimes you'll want one, other times the other.
Unique Demon Runes of any hero will do OK job."
,,Babylon,SS,SS,S+,S,A+,A,C,SS,S,S,S,S,S,S,10.26,"A RO-EX100 must-have, beast in PVP and majority of PVE."
,,Chronos,SS,S+,S+,S+,S+,S+,S+,A,S+,S+,S+,S+,S+,S+,10.23,
,,Victoria,SS,S+,S+,S,S+,S+,S+,A,S+,S,S+,S+,S+,S+,10.20,"After the release of Lucifer; she's no longer a priority due to high-cost and low-end buffs. Lucifer does this far better at the same investment requirement, but gets far better as she gets more upgraded."
,,Asmodeus,SS,S+,S+,SS,A+,S+,A+,S+,S+,S+,S+,S+,S+,S+,10.23,"Among the best Mystifiers, insane in PvE & PvP; requires exclusive runes for PvP speed to match Gaia's advantage, otherwise is far better"
,,Elisha,S+,SS,S+,S+,S+,S,S+,S+,S,S+,S+,A+,S+,S+,10.23,"By far the best hero in almost every aspect, exceling with unique legendary runes in any content, Dahlia does compliment her as she can copy her buffs. Now just servers as a support-buffer to ult spammers"
,,Jormungand,S+,SS,S+,S+,S+,S+,S+,S,S,S+,S,S+,B,A,10.10,"Requires 8-stars for PVP usage, requires runes to possibly be better buffer for Pandora in LC than Pledge heroes (?) - Overall an amazing PVP hero with a huge PVE potential."
,,Arcane Dorabella,SS,S+,S+,S+,S+,S+,A+,A,S,S+,S,A-,S,S,10.07,"A must have hero at 7-stars, required to clear Extreme RO. Overall excels in a lot of game-modes and is especially good in PvP."
,,Pandora,S+,S+,S,SS,S+,S+,S+,S-,S+,S+,S+,S+,S+,S+,9.89,"After the buffs, became the best PVE hero by miles, her epic-exclusive unique runes are enough since she triggers ult 6 times per round, making even 20% have a far better chance to proc. A must have in every content."
,,Leviathan,SS,S+,S+,S+,B,B,C,S+,SS,A+,A+,A+,A+,A+,9.76,"One of the best PVP heroes, along with her 50% reflect cheese in some PVE such as Palace, RO and Dungeon Maniac [CT]."
,,Loki,SS,S-,S,S+,S,S,S,S,S,S,S,S,S,S,9.68,"Very flexible & strong, ignores the rules of actions and does them at the start (-which can enable Arc. Dorabella / Pandora). A bit RNG due to debuffs she applies but a very flexible hero due to synergy and her kit. Easily countered by 3+ Glorians"
