Tier,,Avatar,,,,,,Yellow Border - 4 Epic,,,,,,,,Orange Border - 2 Epic 2 Legendary,,,,,,,,Red Border  - 4 Legendary,,,,,,,,,,Notes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paid Runes,,,,,,,,,,,,,,,,,,,,3,,,,,,,,"These runes can only be obtained with real money. If you want to save some money, purchase Epic runes and slowly evolve them — the effects are weaker but it’s far cheaper.",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Must Have ,,,,,,,,,,,,,,,,,,,,,,,,,,"Absolute top priority — both the heroes and their runes excel across multiple modes, giving the best value for the currency. 

Emily first only if going for the Mystifiers (Tsuki) start.",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core Alternative [PvE Mostly] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Strong runes and heroes, but not as widely useful across multiple modes compared to those in the 'must-have' list.


This list IS ordered!"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Strong Runes, Useful in PvP Mostly",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Team or Meta 
Dependent 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heroes in these tiers are too niche or team-dependent. Only build them if the meta requires it, or if you have a clear plan to utilize them for a specific team. Otherwise, they aren't generally needed for progression.

This list is NOT ordered!",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niche Picks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Strong Hero, OK Runes.",,,,,,,,,,,,,,,,,,,,,,,,,,"These runes are only worth because the hero (e.g., Levi, Ophelia, Althea) is so strong and used so often that you want to further strengthen them or their teams. The runes themselves aren't broken — the hero is. Epic versions are fine; Legendary isn't required.",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Good Runes, Meh Hero",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whales Territory [Evolve if PVP competitive],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Too expensive for regular players, but absolutely worth it for whales to reduce RNG and further enhance heroes.",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E/W/E 
Niche/
Meta/Team Dependant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Runes Too Niche, Hardly Usable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Best to skip these exclusive runes - The impacts they provide are not worth sacrificing anything above them.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absolute Skips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not worth building or obtaining in the current meta.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absolute Skips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
