,,,,,,,,,,
,Avatar,Name,"Rune Type (4 of SAME type, do not mix)",Secondary Type [Up To You] ,Reasoning,"Substat 1
Pre 11-stars","Substat 2
11-star +",Roll For Unique / Supreme,Impact,If Needed Notes
,,Pandora,Dodge (Protection),DPS,"Dodge is often needed without banner for her to survive the initial damage, otherwise, DPS can be better, but not guaranteed.",Endbringer,,TRUE,(Z) Insane,"Unique doubles the damage, additional ult is also a nice addition."
,,Asmodeus,Dodge (Protection),DPS,Similar logic to Eve's note,"Hellfire Flurry, or Cure-Rate",,FALSE,(Z) Insane,
,,Susanoo,Dodge (Protection),DPS,,,,FALSE,,
,,Izanami,Dodge (Protection),DPS,,,,FALSE,,
,,Eve,Dodge (Protection),DPS,"DPS' is also fine but Dodge is just a church, also with Asmodeus in a team you kind of get away with DPS",Bloom of Desire,,TRUE,(Z) Insane,
,,Venus,Dodge (Protection),DPS,Healing might be ok someday in meta,Floral Barrage,,FALSE,(Y) High,
,,Babylon,"Dodge or
DPS (RO)",Reflect (Above 10-stars),"Dodge if below 11-stars and mainly looking for PVP, otherwise DPS for her RO performance.",Savage Visage,,TRUE,(Z) Insane,
,,Loki,Dodge (Protection),DPS,"DPS or Dodge, both are fine options, depending on what you need more.","
Ult Dmg. inc.",Crit RES. Rate,FALSE,(Z) Insane,
,,Death Knight,Dodge (Protection),Healing (Survival),,Crit RES. Rate,,FALSE,,
,,Hera,Dodge (Protection),,Avenger = Scales of the dodge conversion.,"Irrelevant, ATK for more Death-Bomb damage",,FALSE,(W) Low,
,,Jormungand,Dodge (Protection),Healing (Survival),"DPS or Dodge, both are fine options, depending on what you need more.","
Ult Dmg. inc.",Crit RES. Rate,TRUE,(Z) Insane,
,,Lucifer,Dodge (Protection),,Dodge as she needs to stay alive to provide buffs/debuffs.,ATK,,TRUE,(Z) Insane,"The only hero with accuracy increase, very valuable in PvP."
,,Hades,Dodge (Protection),DPS,"Dodge for a better, long-term survival, so he can proc his legendary runes more often",ATK,Crit RES. Rate,TRUE,(Z) Insane,
,,P. Arkdina,Dodge (Protection),,"Anything above Epic is a waste, as her runes are not coded properly.","Irrelevant, ATK for more Death-Bomb damage",,FALSE,(W) Low,
,,Eudora,DPS ,,DPS imo is the only real answer but I can see Dodge being ok if you're using Eudora just to CC enemies with the Elisha,Blazing Melody,,TRUE,(Z) Insane,Completely changes the hero.
,,Doris,Reflect,Dodge (Protection),"If Supreme - Reflect
If Unique - Dodge",ATK,,TRUE,(Z) Insane,"Makes Dooms far, far stronger."
,,Catherine,Healing (Survival),DPS,"Healing helps her stack up her passive faster, and pairs nice with other Mystifier heroes that share the healing (Dullahan, Tiamat).",ATK,Cure Rate,TRUE,(Z) Insane,
,,Elisha,Dodge,DPS,"DPS or Dodge, both are fine options, depending on what you need more.",ATK,,TRUE,(Y) High,"Increases her damage cap, unique is a must-have,"
,,Victoria,DPS ,Dodge (Protection),"She hits hard, but if she's not 10-12 stars I'd say Dodge is option as well",ATK,,TRUE,(Y) High,
,,Wu Zetian,Dodge (Protection),Healing (Survival),Wants to live as long as possible to provide more protection to the team,ATK,Crit RES. Rate,TRUE,(Y) High,
,,"Ying
Zheng",Dodge (Protection),,Avenger = Scales of the dodge conversion.,ATK,,FALSE,,
,,Hela,Dodge (Protection),DPS ,Dodge all the way.,ATK,,TRUE,(Z) Insane,
,,A. Bastet,DPS ,Dodge (Protection),,ATK,Cure Rate,FALSE,(W) Low,
,,A. Dorabella,DPS ,Dodge (Protection),"Anything above Epic is a waste, as her runes are not coded properly.",Ult. DMG,,FALSE,,Only reason for the Epic runes is due to the ULT. Damage Substats.
,,S. Aiushtha,Reflect ,Dodge (if no Exclusive runes),Makes her an actual threat as a Dooms hero.,ATK,,FALSE,,
,,Isis,Dodge (Protection),Healing (Survival),"Avenger = Scales of the dodge conversion.
Healing is fine if she's the main tank and Pos 1 (a bit outdated tech).",ATK,,TRUE,(Y) High,
,,Narissa,Dodge (Protection),,Avenger = Scales of the dodge conversion.,Astral Summon,,TRUE,(Y) High,
,,Halysa,Dodge (Protection),Reflect,"If Supreme - Reflect
If Unique - Dodge",ATK,,TRUE,(Y) High,Unfortunately a benched hero due to no seasonal synergy [late game].
,,Gaia,DPS ,Dodge (Protection),"Before her Oath Force I'd use dodge, afterwards, DPS.",ATK,Cure Rate,TRUE,(Y) High,
,,Audrey,Healing (Survival),DPS,"Rarely requires a dodge runes due to HS steal, Healing buffs her up further and provides sustain.",ATK,Crit RES. Rate,TRUE,(Y) High,
,,Dahlia,DPS ,Dodge (Protection),"Early on DPS for 'carry'
Later on, switch to reflect or dodge",ATK,,TRUE,(Y) High,
,,Astrid,DPS ,Dodge (Protection),"One of the highest single-target DPS, hits one hero but hard, if you feel like she's dying, use dodge",ATK,Cure Rate,TRUE,(Y) High,
,,Vittoria,Dodge (Protection),,To last longer for the Bind,ATK,Crit RES. Rate,FALSE,(Y) High,
,,Amaterasu,Dodge (Protection),Healing (Survival),"Needs to live to scale up, hence the defensive runes.",ATK,Basic ATK,FALSE,(Y) High,
,,Janna,Dodge (Protection),,Avenger = Scales of the dodge conversion.,ATK,,TRUE,(Y) High,
,,Karnak,Dodge (Protection),,To last longer for the Bind,ATK,Basic ATK,FALSE,(Y) High,
,,Lancelot,Dodge (Protection),,To last longer for the Phantom Illusion,ATK,Cure Rate,FALSE,(Y) High,
,,Emily,Dodge (Protection),DPS ,,ATK,Cure Rate,TRUE,(Y) High,
