,,,,,,
,Avatar,Name,Important Ordering,"Summary
First complete the minimal PVE requirement before going to this [Endgame Priority List].","Source
(get them from these sources)","Fair ⭐ level, not ideal, not the worst either"
,,Lucifer,Top Priority,"Helps in everything; PVP + PVE, can be slot into any team and makes it significantly better",Fate Summon Event,9 -> Move to other Fate
,,Hela,Top Priority,"Helps in everything; PVP + PVE, can be slot into any team and makes it significantly better",Fate Summon Event,9 -> Move to other Fate
,,Victoria,Top Priority,"Helps in everything; PVP + PVE, can be slot into any team and makes it significantly better",Fate Summon Event,8 -> Move back to Lucifer 
,,Babylon,Top Priority,Must have for both PVP & PVE [RO] - Bunch of actions and DMG boost,Oracle Shop,12 > 10 > 9
,,Arcane Dorabella,Top Priority,"Top tier both PVP & PVE - A must have hero for everything
10-stars only for PVP, for everything else 9-stars is enough",Oracle Shop,10 > 9
,,Asmodeus,Top Priority,"A better Gaia starting at 8-stars, and a far better Gaia at 10-stars and above, especially with exclusive runes.",Oath Recall,12 > 10 > 9 > 8
,,Primordial Arkdina,Top Priority,"Top PVP hero - a must have for both WA & Foggy competition, key part of many teams for survival",Oracle Shop,12 > 10 > 9 > 8
,,Venus,High,"Makes Ethereals deadly in PVP - close to unbeatable, her Oath Force isn't all that ""justified"" as it is for the others",Oracle Shop,9 > 8
,,Izanami,High,Expected to be slighly better damage booster than Elisha at the high investment; should be top tier in both PVP & PVE.,Oath Recall,12 > 10 > 9 > 8
,,Hera,High,"Top PVP hero - a must have for both WA & Foggy competition, key part in Avenger - Phantoms and only really usable there.",Oracle Shop,12 > 10 > 9 > 8
,,Eve,High,"The strongest Mystifier hero in the game right now, if you want your Mystifiers to have any odds of winning, you'll want her.",Oracle Shop,9 > 8
,,Tiamat,High,"Often mandatory hero for the RO boss stages, other than that she's a key part of Mystifier's team in the PVP","Selectors 
Oracle Shop",12 > 10 > 9 > 8
,,"Ascended Bastett
",High,"After the recent hotfix on her Oath force, she's quite OP in Mystifiers.",Oracle Shop,12 > 10 > 9 > 8
,,Sourceborn Marina,High,"Unique Oath Force; countering PI reliably and bringing +2 Glorians is insane value - only for PVP players. She doesn't bring a lot of value, if any, in PVE.",Oracle Shop,12 > 10 > 9 > 8
,,Behemoth,High,Strong Oath Force - Strong hero.,"Selectors 
Oracle Shop",12 > 10 > 8
,,"Sovereign Aiushtha
",High,"Oath Force is barely felt in her case after the loss of seasonal stats, only worth getting up to 9-stars for the +2 Dooms.",Oracle Shop,9
,,Everhunt Diana,Middle - High,"Solid in PVP and high-end PVE [Palace/LC/RO] - other than that, she's easily replaced by Ophelia in PVE, so this hero is mostly for low-spenders, for F2P's only ok to invest if already own her at 6-stars.",Oracle Shop,12 > 10 > 8
,,Loki,Middle - High,A perfect balance between PVP and PVE; filler hero that slots majority of the teams. ,Oracle Shop,9
,,Jormungand,Middle,Oath Force is okay-ish hence why the 'Middle' tier - only worth taking if you're done with the majority of the heroes at above,Oracle Shop,12 > 10
,,Leviathan,Middle,"Terrible Oath force; peaks at 9-stars due to her reflect skill, should stay at that until she's more viable in shops & selectors.","Selectors 
Oracle Shop",9
,,Amaterasu,Middle,"Worth investing if Venus is acquired, but not a ""must-own""","Selectors 
Oracle Shop",10 > 9 > 8
,,Isis,Middle,"Strong Oath force, strong hero - but a bit old, hard to justify spending Oracles on her when there's better heroes in the shop to work towards.","Selectors 
Oracle Shop",12 > 10 > 8
,,Susanoo,Middle,"A mid hero due to her Oath force ""not working"" and poor synergy, only viable as a CC cleanser for burst-like teams.",Oracle Shop,9
,,Ying Zheng,Middle,"Only worth investing once you enter the PVP competitive zone, completely useless in PVE and only serves as an Avenger filler hero that is often crucial for the battle win/loss",4th Oath Recall,12 > 10 > 8
,,Odin,Middle,Only worth getting up to 10-stars for PVP; otherwise keep her at 9-stars.,"Selectors 
Oracle Shop",10
,,Tsukuyomi ,Middle,"Good Oath Force but the difference between 7 to 12-stars is really small, not justified the investment until she becomes ""easier"" to get.","Selectors 
Oracle Shop",12 > 10 > 9 > 7
,,Death Knight,Middle,"Only really good with E. Diana & Pandora in PVP/PVE, not really a mandatory hero for anything, skippable, but good to have ""just in case"" at 9-stars for the future.",Oracle Shop,9
,,Eudora,Middle,"Outdated & replaced by Arc. Dorabella; still a good hero for 2nd Ethereals, unfortunately requires Legendary Exclusive Runes to be viable & skin for PVP.",4th Oath Recall,8
,,Pandora,Low,"Her Oath force doesn't justify the investment; long-term, you'll get her up to 12-stars with the free selectors from RO/events","Selectors 
Oracle Shop",9
,,Elisha,Low,"Oath Force is bad - but okay now due to Venus, only justifiable going above 8-stars to 10-stars in a case with Venus.","Selectors 
Oracle Shop",8
,,Gaia,Low,"Pretty terrible Oath Force, hard to justify spending any Oracle Coins for her, work with RO selectors","Selectors 
Oracle Shop",8
,,Cleopatra,Low,"Outdated, only used in PVP as a filler and Tombs or PVE for more than 4-team content.",4th Oath Recall,9 > 8
,,Bahamut,Low,Solid in Protectors for providing CC + 3 Glorians [if EX'd] but not a good Oath Force ,"Selectors 
Oracle Shop",9
,,Lilith,Low,"Only used in the Ethereals as a filler - not mandatory, hard to fit in other teams, also has terrible Oath Force","Selectors 
Oracle Shop",9
,,Hecate,Low,"Hard to fit in any Avengers due to poor rune synergy, good hero done wrong, not worth summoning on ","Selectors 
Oracle Shop",10
,,RA,Low,"It's only usability is RO but even then is not a must, skip - on top of that her Oath Force is bad","Selectors 
Oracle Shop",9
,,Fenrir,Low,"Only usable on whale accounts and even then there's better options, skip unless you wanna be funny","Selectors 
Oracle Shop",12 > 10 > 8
