Question,Answer
In which season did the conflict between Isis and Ra occur ?,Pyramid of exile
Which type of relic is recommended for position 2 ?,Burst
"At Lv.3, the Immortal Phoenix's Proof of Immortality can execute targets with HP below what percentage?",35%
Which faction is invading Palmarius,Deviant
Which of the following summon types can obtain Valkyrie Mastery heroes?,Fate Summon
How many gates are there in Tomb Treasures?,6
Which of the following is not a relic type?,DPS
How many eggs can a person eat on an empty stomach?,1
Which Valkyrie was born from the Holy Grail?,Babylon
Which relic is not a Chrono-type relic?,Divine Plume
What is the minimum number of heroes required to activate Valkyrie Synergy effects?,2
Three hats can be worn by exactly how many people?,Two pairs of father and son
What is Hela's Rune Synergy,rune mastery
how many tomb treasures drop ancient accessories?,4
which of the following places allows you give gifts to valkyries to increase favor?,valkyrie manor
"thor always believes he's incredibly strong, but there's one thing he can never lift. what is it?",thor
"in dimensional arena, how many points are earned for 3:0 victory?",10
What is the title of EX Valkyrie Dorabella?,Chrono Transcendent
"In the game, which map comes after Chapter 26: Forgotten Canyon?",Rising Steps
"In Yggdrasil Supremacy, how many teams are used for battle?",2
In which position can the relic Planar Gate be placed?,1 2 3
How many types of instances are there in Celestial Trials?,6
"What has no mouth yet can roar, and no hands yet has the power to destroy forests?",wind
Which faction's heroes cannot be awakened?,deviant
What type of Sacred Beast is the Beast of Original Sin?,Odyssey
How many Valkyries can an Omniguardian bring into the Dimensional Arena?,1
"In the ""Interdimensional"" season, which Valkyrie guided the Omniguardian to other universes?",Arcane Dorabella
"What passes through cities and villages, plains and canyons, but never moves?",Road
Which hero's skills do not include Taunt?,Odin
Who is Amaterasu's sister?,Tsukuyomi
Which relic's skills are related to Silence?,Crimson chalice
How many days does each round of Clash Domain last?,14
"In computer science, which digits are used in the binary system?","0,1"
What is Fallen Star Lucifer's aptitude?,40
Which of the following is not a difficulty level in Abyss Crusade?,easy
How many Coliseums are there in Yggdrasil Supremacy?,9
"In Storm Passage, how many times can each merchant ship be raided at most?",2
Which hero's skills are related to Shield?,venus
Which faction discovered the Palace of Penrose?,Shadowarchs
"A man loved his widow's sister, but he could never be with her. Why?",he is dead
The heaviest treasure chest ever made by the dwarves became as light as a feather after Loki filled it with something. What did she put inside?,Hole
"Which Valkyrie did not appear in the ""Primeval Realm"" season?",leviathan
"In Storm Passage, what is the highest-quality merchant ship a player can own?",Seraphic Merchant Ship
"In Clash Domain, how many guilds are in the same room?",6
"Loki has a weapon sharper than Laevateinn, yet it has no blade; it can pierce any armor, yet never leaves a wound. What is this weapon?",word
"You enter a pitch-black room containing a fireplace, an oil lamp, and a candle. To get light as quickly as possible, what do you light first?",Matchstick
What is the maximum star level for Legendary Heroes?,15
"When Loki transforms into a horse, he becomes incredibly fast, even surpassing Hermod, who was the world's second fastest. What is Loki's current rank in terms of speed?",second
What must be opened each time a new season begins?,eternal gate
How many types of instances are there in the Forgotten Land?,4
How many opponents are matched in each Global Arena challenge?,3
The Sacred Beasts in the Arena Beast Pen cannot be deployed in which of the following modes?,Tomb treasure
Which of the following is not a valid synergy type?,talent synergy
"A farmer raises nine dragons, but why are there nineteen dragon heads?",Five of them are three-headed dragons
Which of the following Valkyries does not have wings?,Astrid
How many holes does a new pair of socks have?,2
What is the level requirement to unlock a season?,50
What is Victoria's Rune Counter Skill?,plague removal
What gets bigger the angrier it gets?,temper
What is the player ranked first in the Arena called?,supremacy
Which of the following is not a Labyrinth difficulty?,hell
Which of the following heroes does not have the Royals Synergy?,Alice
What is the highest-quality flower in Gloomwoods?,legendary vileflower
"What is something that once you have it, you want to share it; but if you share it, you lose it?",secret
"What is full of holes, yet can still hold water?",sponge
What type of Sacred Beast is the Earthshaking Ape?,Arena
"The Valkyries in the ""Ragnarok"" season do not include which of the following characters?",Hela
How many weeks does each round of Rift Odyssey last?,4
"when a car makes a right turn, which tire doesn't turn?",Spare tire
Which of the following is not valid synergy type?,Talent synergy
"In lost city, what is the maximum star rating for each chapter?",36
Which hero is a mage ?,loki
How many Position Blessings does the Hope Tree have?,6
how many quarter in NBA game ?,4
"What has a head and a tail, but no body?",Coin
Who was the second Valkyrie rescued by the Omniguardian?,Elune
Which of the following is not a valid hero rarity?,Mythic
What is Eve's Faction Synergy?,Celestial
"What is something that the buyer knows, but the user will never know?",coffin
"There are 10 crows on a tree branch. After Loki shoots one down with a slingshot, how many crows are left?",0
What becomes less the more you use it?,time
Two children with the same parents look exactly alike and share the same birthday. Why aren't they twins?,They were 2 of a set of triplets
